date,company,open,high,low,close,volume
2024-06-01,Alpha Ltd,100,105,99,104,10000
2024-06-02,Alpha Ltd,104,108,103,107,12000
2024-06-03,Alpha Ltd,107,110,106,109,9000
2024-06-04,Alpha Ltd,109,112,108,111,9500
2024-06-05,Alpha Ltd,111,115,110,114,11000
2024-06-01,Beta Corp,200,205,198,204,15000
2024-06-02,Beta Corp,204,208,203,207,13000
2024-06-03,Beta Corp,207,210,206,209,14000
2024-06-04,Beta Corp,209,212,208,211,12500
2024-06-05,Beta Corp,211,215,210,214,13500
2024-06-01,Gamma Inc,300,305,299,304,8000
2024-06-02,Gamma Inc,304,308,303,307,8500
2024-06-03,Gamma Inc,307,310,306,309,9000
2024-06-04,Gamma Inc,309,312,308,311,9500
2024-06-05,Gamma Inc,311,315,310,314,10000
2024-06-01,Delta PLC,400,405,398,404,7000
2024-06-02,Delta PLC,404,408,403,407,7500
2024-06-03,Delta PLC,407,410,406,409,8000
2024-06-04,Delta PLC,409,412,408,411,8500
2024-06-05,Delta PLC,411,415,410,414,9000
2024-06-01,Epsilon Ltd,500,505,499,504,6000
2024-06-02,Epsilon Ltd,504,508,503,507,6500
2024-06-03,Epsilon Ltd,507,510,506,509,7000
2024-06-04,Epsilon Ltd,509,512,508,511,7500
2024-06-05,Epsilon Ltd,511,515,510,514,8000
2024-06-01,Zeta Corp,600,605,599,604,5500
2024-06-02,Zeta Corp,604,608,603,607,6000
2024-06-03,Zeta Corp,607,610,606,609,6500
2024-06-04,Zeta Corp,609,612,608,611,7000
2024-06-05,Zeta Corp,611,615,610,614,7500
2024-06-01,Eta Inc,700,705,699,704,5000
2024-06-02,Eta Inc,704,708,703,707,5500
2024-06-03,Eta Inc,707,710,706,709,6000
2024-06-04,Eta Inc,709,712,708,711,6500
2024-06-05,Eta Inc,711,715,710,714,7000
2024-06-01,Theta PLC,800,805,798,804,4500
2024-06-02,Theta PLC,804,808,803,807,5000
2024-06-03,Theta PLC,807,810,806,809,5500
2024-06-04,Theta PLC,809,812,808,811,6000
2024-06-05,Theta PLC,811,815,810,814,6500
2024-06-01,Iota Ltd,900,905,899,904,4000
2024-06-02,Iota Ltd,904,908,903,907,4500
2024-06-03,Iota Ltd,907,910,906,909,5000
2024-06-04,Iota Ltd,909,912,908,911,5500
2024-06-05,Iota Ltd,911,915,910,914,6000
2024-06-01,Kappa Corp,1000,1005,999,1004,3500
2024-06-02,Kappa Corp,1004,1008,1003,1007,4000
2024-06-03,Kappa Corp,1007,1010,1006,1009,4500
2024-06-04,Kappa Corp,1009,1012,1008,1011,5000
2024-06-05,Kappa Corp,1011,1015,1010,1014,5500 